Marital status,Application mode,Course,Previous qualification,Tuition fees up to date,Scholarship holder,Age at enrollment,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Inflation rate,Output
1,8,10,1,1,0,21,0,6,9,6,11.375,0.3,Graduate
1,1,6,1,1,0,18,0,5,9,5,12.66666667,-0.8,Enrolled
1,1,9,1,1,0,20,0,5,6,5,12,0.3,Graduate
1,8,12,1,1,0,19,0,7,9,6,12.93333333,0.3,Enrolled
1,15,4,14,1,0,21,0,6,15,5,11.85714286,0.3,Enrolled
1,16,5,1,1,0,20,2,6,7,6,12.83333333,1.4,Graduate
1,1,9,1,0,0,18,0,5,9,3,11.33333333,1.4,Enrolled
1,9,3,1,1,0,19,0,6,6,6,12.66666667,0.5,Graduate
1,1,17,1,1,0,34,0,5,6,5,12.4,-0.3,Graduate
1,12,1,1,0,0,37,0,7,7,0,0,1.4,Dropout
1,12,7,8,1,0,43,0,5,0,0,0,2.6,Dropout
1,14,9,1,1,0,55,0,5,10,1,10,0.3,Dropout
4,12,17,1,1,0,39,0,5,8,5,11,2.6,Graduate
1,15,8,14,0,0,20,2,6,13,3,11.66666667,0.5,Dropout
1,1,15,1,1,0,18,0,6,6,4,12.75,3.7,Dropout
1,1,9,1,1,0,22,0,5,5,5,14.8,1.4,Graduate
1,1,12,1,1,0,22,0,7,9,5,13.928,0.6,Graduate
1,8,15,1,0,0,20,0,6,7,4,13,0.5,Dropout
1,12,17,1,1,0,29,0,5,0,0,0,0.3,Dropout
1,8,17,1,1,0,24,0,5,9,2,11.5,2.6,Enrolled
1,8,10,1,1,0,18,0,6,6,6,11.66666667,0.6,Graduate
1,8,12,1,1,1,22,0,7,8,6,13.51666667,0.6,Graduate
1,15,3,14,1,1,21,3,6,6,6,11.5,0.5,Graduate
1,1,10,1,1,1,19,0,6,7,5,12.33333333,3.7,Graduate
1,12,11,1,1,1,24,0,6,6,6,13.66666667,0.5,Graduate
1,1,12,1,1,1,19,0,8,10,6,11.83333333,-0.8,Enrolled
1,1,15,1,1,1,20,0,6,11,4,14,-0.8,Enrolled
1,1,8,1,1,0,19,0,5,7,5,14.71428571,2.6,Graduate
1,12,17,1,1,0,27,0,5,12,5,10.6,-0.8,Dropout
1,1,12,1,1,0,18,0,7,9,7,13.04444444,2.8,Graduate
2,4,11,3,1,0,39,0,6,10,0,0,0.5,Dropout
1,12,8,15,1,0,27,0,6,9,5,13,0.5,Dropout
1,8,12,1,1,0,18,0,8,8,8,14.935,-0.8,Graduate
1,1,2,1,1,0,18,0,0,0,0,0,2.6,Enrolled
1,1,12,1,1,0,18,0,7,8,6,13.13333333,0.3,Graduate
1,15,10,14,1,1,21,3,6,7,6,12,-0.3,Graduate
1,8,2,1,1,1,19,0,0,0,0,0,1.4,Enrolled
1,8,5,1,1,0,19,0,6,6,5,11.4,1.4,Enrolled
1,14,5,1,1,0,24,0,6,6,0,0,3.7,Enrolled
4,13,12,12,1,0,29,2,7,10,5,11.9,-0.3,Dropout
1,1,2,1,1,1,19,0,0,0,0,0,1.4,Graduate
1,15,4,14,1,0,23,0,6,8,6,12.57142857,1.4,Graduate
1,1,9,1,1,0,19,0,5,8,5,11.2,0.3,Dropout
1,12,11,1,1,0,26,0,6,7,6,12,3.7,Enrolled
1,8,9,1,1,0,18,0,5,9,0,0,2.6,Enrolled
1,8,12,1,1,0,24,0,7,8,7,11.975,-0.3,Graduate
1,1,2,1,1,0,19,0,0,0,0,0,2.8,Dropout
1,8,11,1,1,0,18,0,6,12,3,11.66666667,0.5,Dropout
1,1,15,1,1,0,18,0,6,8,6,12.33333333,1.4,Graduate
1,8,9,1,1,0,18,0,5,8,3,10.33333333,1.4,Dropout
1,9,11,1,1,1,21,0,6,8,4,10.5,-0.8,Dropout
1,8,15,1,1,1,19,0,6,6,6,13.66666667,1.4,Graduate
1,8,12,1,1,1,22,0,7,7,7,14.84285714,0.3,Graduate
2,12,3,1,1,0,33,0,6,8,6,12,1.4,Graduate
1,1,16,1,1,0,20,0,6,8,5,12.2,1.4,Dropout
1,12,17,2,1,0,35,0,1,1,0,0,1.4,Dropout
1,12,4,4,1,0,24,6,12,17,6,12.16666667,0.5,Dropout
1,8,11,1,1,0,18,0,5,6,5,12,3.7,Enrolled
2,12,3,1,1,0,33,0,6,7,6,11,-0.8,Graduate
1,13,12,1,1,1,22,0,8,8,7,13.08,1.4,Graduate
1,12,14,1,1,1,25,0,5,7,4,10.5,-0.8,Graduate
1,8,5,1,1,0,20,0,6,9,6,10.66666667,2.6,Graduate
1,1,9,1,1,0,23,0,5,6,4,14,0.6,Enrolled
1,14,7,1,1,0,18,0,5,9,2,10,2.8,Enrolled
1,12,12,1,1,0,24,0,7,18,0,0,-0.3,Dropout
1,8,15,1,0,0,21,0,6,6,6,14,1.4,Graduate
1,6,8,1,1,0,26,0,6,7,2,12,1.4,Dropout
2,12,16,8,1,0,39,0,6,12,3,12.66666667,2.6,Dropout
2,12,3,1,1,0,44,2,8,11,8,11.875,3.7,Graduate
1,6,7,1,1,0,19,0,5,9,5,14,-0.3,Enrolled
1,1,15,1,1,0,18,0,6,6,6,13.66666667,1.4,Graduate
1,1,12,1,1,1,18,0,7,7,7,13.75,0.5,Graduate
1,1,6,1,1,0,19,0,5,7,5,14.2,3.7,Enrolled
1,1,12,1,0,0,19,0,7,10,4,11.96,-0.3,Dropout
1,17,6,16,1,0,21,7,10,12,8,12.875,1.4,Dropout
1,1,2,1,1,0,20,0,0,0,0,0,0.3,Graduate
2,12,3,1,1,0,36,0,6,0,0,0,-0.8,Dropout
4,12,4,9,1,0,43,13,18,19,18,14.63157895,2.8,Graduate
1,9,16,1,1,0,19,0,6,0,0,0,0.6,Dropout
1,16,5,1,1,0,20,4,10,12,10,13,0.6,Graduate
1,1,10,1,1,0,19,0,6,0,0,0,0.3,Dropout
1,1,6,1,1,0,20,0,6,15,4,14.2,2.8,Dropout
1,1,12,1,1,0,20,2,7,9,6,13.26666667,0.5,Dropout
1,8,16,1,1,0,20,0,7,12,6,11.66666667,0.3,Enrolled
1,1,10,1,1,0,18,0,6,8,6,13.85714286,-0.3,Graduate
1,8,9,1,1,1,18,0,5,9,3,13,1.4,Enrolled
1,1,6,1,1,0,19,0,5,6,5,13.4,1.4,Graduate
1,1,15,1,1,0,18,0,6,6,6,12.66666667,1.4,Graduate
1,8,12,1,1,0,18,0,7,7,6,12.51666667,2.6,Dropout
1,14,12,1,1,0,20,0,7,11,6,11.61666667,-0.3,Enrolled
1,8,10,1,1,1,20,0,6,13,2,10,2.6,Enrolled
1,8,9,1,1,0,20,0,5,11,3,10.33333333,0.5,Enrolled
1,1,6,1,1,0,18,0,5,12,5,13.14285714,-0.8,Graduate
1,1,9,1,1,0,18,0,5,5,5,12.6,0.6,Graduate
1,8,11,1,1,0,21,0,6,12,3,11,-0.8,Dropout
1,1,9,1,1,0,19,0,5,8,5,10.8,0.3,Graduate
1,1,2,1,1,0,19,0,0,0,0,0,1.4,Dropout
1,1,14,1,1,1,19,0,5,5,5,12.8,-0.8,Graduate
1,1,6,1,1,0,19,0,6,15,6,14.16666667,2.8,Graduate
1,8,13,1,1,0,19,0,7,12,5,12.1,-0.3,Dropout
1,15,6,14,1,0,20,1,6,7,6,14.16666667,0.5,Graduate
1,1,16,1,1,1,18,0,6,8,5,12.8,-0.8,Enrolled
1,8,10,1,1,0,18,0,6,7,6,13,0.5,Graduate
1,8,12,1,1,0,19,0,7,7,7,13.46714286,0.5,Graduate
1,1,12,1,1,1,18,0,7,9,7,13.2375,-0.3,Dropout
1,8,5,1,1,0,18,0,6,6,6,12.33333333,2.6,Graduate
1,1,9,1,1,0,19,0,5,7,5,12.4,1.4,Graduate
1,8,12,1,1,0,19,0,7,8,5,14,-0.3,Dropout
1,14,10,1,1,0,20,5,9,15,9,11.66666667,2.6,Graduate
1,1,14,1,0,1,19,0,6,7,5,12,0.5,Dropout
1,8,14,1,1,0,20,0,5,7,4,12.2,2.6,Graduate
1,1,15,1,1,1,18,0,6,6,6,14.83333333,1.4,Graduate
1,1,12,1,1,1,20,0,7,9,5,13.188,0.6,Enrolled
1,9,12,1,1,0,18,0,7,8,7,17.125,-0.3,Graduate
1,1,12,1,1,0,19,0,7,7,6,12.66666667,2.6,Graduate
1,1,15,1,1,1,19,0,6,8,6,12.66666667,0.5,Graduate
1,16,9,1,0,0,22,0,5,8,0,0,1.4,Enrolled
1,1,10,1,1,1,19,0,6,7,6,11.33333333,0.5,Graduate
1,1,12,1,1,1,19,0,7,10,7,13.605,2.8,Graduate
1,8,16,1,1,1,19,0,6,10,5,12,-0.8,Graduate
1,1,11,1,1,0,19,0,5,10,0,0,2.6,Dropout
1,8,11,1,1,0,20,0,6,8,5,11.2,2.6,Dropout
1,1,9,1,1,0,18,0,5,10,5,13.375,-0.3,Graduate
1,1,12,1,1,1,20,0,7,8,6,13.86333333,0.6,Graduate
1,1,2,1,1,0,18,0,0,0,0,0,-0.8,Enrolled
1,1,6,1,1,0,19,0,5,6,5,12.4,2.6,Graduate
1,8,16,1,1,0,18,0,6,11,3,12.33333333,-0.8,Enrolled
1,1,16,1,1,0,18,0,6,7,6,13.33333333,2.6,Graduate
1,14,16,1,1,0,21,0,6,10,3,12.66666667,-0.8,Dropout
1,1,16,1,1,0,19,0,6,8,6,12,2.6,Dropout
1,1,9,1,1,1,18,0,5,5,5,10.6,0.5,Graduate
1,8,10,1,1,1,18,0,6,8,6,12.25,3.7,Graduate
1,1,10,1,1,0,20,0,6,10,4,11,-0.8,Graduate
1,12,3,1,1,1,24,0,6,11,5,11,0.6,Graduate
1,1,14,1,1,0,19,0,6,6,6,13.16666667,1.4,Dropout
1,1,12,1,1,1,18,0,7,9,7,12.85555556,2.8,Graduate
1,1,12,1,1,0,18,0,7,8,7,14.91875,2.8,Graduate
1,8,16,1,1,0,21,0,6,13,4,11.5,1.4,Dropout
1,8,14,1,1,0,19,0,5,5,5,14.2,2.6,Graduate
1,8,15,1,1,1,19,0,6,6,6,12.5,2.8,Graduate
3,12,4,1,1,0,47,0,1,1,0,0,1.4,Enrolled
1,8,10,1,1,0,19,0,6,10,5,11.66666667,-0.3,Graduate
1,12,12,3,1,0,29,1,8,8,7,14.25714286,3.7,Graduate
1,14,10,1,1,0,21,0,6,13,3,12,0.3,Dropout
1,12,6,1,1,0,28,0,5,13,4,11.25,3.7,Enrolled
1,8,13,1,1,0,20,0,7,8,7,12.45714286,2.8,Graduate
1,8,12,1,1,0,19,0,7,7,6,11.68333333,2.6,Graduate
1,13,3,1,1,0,26,0,6,10,3,11.66666667,-0.8,Graduate
1,8,11,1,0,0,20,0,6,8,4,11.75,0.6,Dropout
1,1,14,1,1,1,18,0,5,6,3,11.66666667,2.6,Enrolled
1,12,16,1,1,0,27,0,6,9,5,13.2,2.6,Graduate
1,1,12,1,1,0,20,0,7,8,4,11.95,2.6,Dropout
1,1,16,1,1,0,18,0,6,8,5,12.4,-0.8,Dropout
1,4,12,3,1,0,33,2,7,8,6,14.35,0.3,Dropout
1,14,16,1,1,0,35,19,21,21,21,12.61904762,0.5,Graduate
1,15,17,14,1,1,26,2,6,7,6,12.66666667,-0.8,Enrolled
1,12,15,12,0,0,27,0,6,6,5,12,0.6,Dropout
1,9,5,1,0,0,19,0,6,6,6,12.16666667,2.8,Dropout
1,8,11,1,1,0,20,0,6,0,0,0,0.6,Dropout
1,9,9,1,0,0,20,0,5,9,3,10,1.4,Dropout
1,14,10,1,0,0,21,5,10,18,8,11.5,-0.8,Enrolled
1,8,12,1,1,1,18,0,7,7,6,13.05,2.6,Graduate
1,12,6,1,1,0,24,0,6,10,2,11,1.4,Dropout
1,8,5,1,1,0,20,0,6,7,6,11.5,0.3,Graduate
1,1,11,1,1,1,21,0,6,7,6,12,-0.3,Graduate
1,1,3,1,1,0,23,0,6,13,2,10,-0.8,Enrolled
1,12,9,1,1,0,24,0,5,5,0,0,2.6,Dropout
1,16,16,1,1,0,21,0,6,0,0,0,0.5,Dropout
1,1,12,1,1,0,18,0,8,8,7,12.24285714,3.7,Graduate
1,12,17,15,1,0,27,0,5,0,0,0,1.4,Dropout
1,9,12,1,1,0,18,0,8,8,8,12.93375,-0.8,Graduate
1,4,7,3,1,0,35,0,5,0,0,0,-0.3,Dropout
1,1,16,1,1,0,18,0,7,9,7,12.57142857,0.6,Graduate
1,12,12,1,1,0,35,0,3,4,3,11.81666667,0.6,Enrolled
1,1,6,1,1,0,19,0,5,9,4,13.75,1.4,Graduate
1,1,10,1,1,0,20,0,6,8,6,11.16666667,2.6,Graduate
1,1,12,1,1,0,18,0,8,8,7,12.32428571,1.4,Graduate
1,15,10,14,1,0,21,3,6,6,6,12.16666667,-0.3,Graduate
1,8,10,1,1,1,18,0,6,11,5,11.14285714,0.3,Graduate
1,1,10,1,1,0,18,0,6,9,4,11,2.6,Graduate
1,1,12,1,1,0,18,0,8,8,7,12.91428571,3.7,Graduate
1,1,15,1,1,1,18,0,6,6,6,13.83333333,0.3,Graduate
1,1,6,1,1,0,19,0,6,8,6,13.85714286,-0.3,Graduate
1,12,11,12,1,1,36,0,6,7,6,13.71428571,0.3,Dropout
1,1,12,1,1,1,18,0,8,8,7,12.64285714,3.7,Graduate
1,1,12,1,1,1,18,0,7,7,6,12.91666667,2.6,Graduate
1,14,8,1,1,1,20,0,6,8,6,15.625,-0.3,Graduate
1,12,17,1,1,1,26,0,5,7,0,0,0.3,Dropout
1,14,15,1,1,0,21,0,6,8,6,11.71428571,2.6,Graduate
1,12,13,15,1,0,25,0,7,10,6,12.125,2.8,Enrolled
1,9,9,1,1,1,19,0,5,7,5,11.6,0.5,Graduate
1,12,3,1,1,0,24,0,6,11,1,10,-0.8,Dropout
1,12,3,1,1,1,27,0,6,16,1,10,1.4,Dropout
1,8,6,1,1,0,21,0,5,10,0,0,2.6,Dropout
1,1,9,1,1,1,18,0,5,7,4,13,-0.8,Graduate
2,1,16,1,1,1,19,0,6,6,6,13.33333333,1.4,Graduate
1,1,11,1,1,0,18,0,6,9,4,11.25,-0.8,Dropout
1,16,12,1,1,1,19,0,7,9,5,13.85,0.6,Graduate
1,9,12,1,1,1,19,0,7,8,6,13.74166667,0.3,Graduate
2,4,17,17,1,0,33,2,6,7,6,15.33333333,0.6,Graduate
2,4,9,3,1,0,45,0,5,6,5,11,0.5,Graduate
1,1,10,1,1,1,20,0,6,6,6,12,0.6,Graduate
1,12,14,1,1,0,28,0,5,5,0,0,2.6,Dropout
1,14,12,1,1,1,19,0,8,15,7,11.57142857,3.7,Graduate
1,1,11,1,1,0,18,0,6,10,6,12.85714286,3.7,Graduate
1,12,11,3,1,0,38,0,6,0,0,0,2.8,Dropout
1,1,14,1,1,0,19,0,5,5,5,13,-0.8,Graduate
1,1,11,1,1,1,21,0,6,9,5,11,2.8,Graduate
1,1,9,1,1,0,21,0,5,12,3,12,0.3,Dropout
1,1,10,1,1,1,22,0,6,6,5,12.6,1.4,Graduate
1,1,16,1,1,1,18,0,6,8,5,13.4,-0.8,Graduate
1,8,10,1,1,1,18,0,6,9,6,11.33333333,2.8,Graduate
1,1,8,1,0,0,25,0,5,14,4,13.5,-0.8,Dropout
1,12,6,12,0,0,24,2,6,11,3,11.75,0.3,Dropout
1,1,12,1,1,0,19,0,7,10,6,12.47142857,0.5,Enrolled
1,7,2,1,1,0,24,11,17,19,11,12.90909091,0.5,Enrolled
1,1,9,1,1,1,20,0,5,5,5,11.6,0.5,Graduate
1,12,9,1,0,0,25,0,5,5,0,0,1.4,Dropout
1,1,9,1,1,1,20,5,10,13,9,12.9,1.4,Graduate
1,4,12,3,1,0,23,0,8,8,8,13.22,-0.8,Graduate
1,8,12,1,1,1,19,0,8,8,7,13.15142857,1.4,Graduate
1,15,4,14,0,0,29,0,6,13,3,12.75,-0.3,Dropout
1,1,11,1,1,0,21,0,6,8,6,11.33333333,0.6,Graduate
1,1,14,1,1,1,18,0,6,10,6,13.25,0.6,Graduate
1,1,5,1,1,0,19,0,6,7,5,12.4,-0.8,Enrolled
1,1,15,1,1,1,18,0,6,6,6,15,1.4,Dropout
1,1,6,1,1,0,19,0,5,6,5,14.4,2.6,Graduate
1,1,15,1,1,0,18,0,6,12,1,11,-0.8,Enrolled
1,8,9,1,1,0,18,0,5,8,5,12.4,1.4,Graduate
2,12,13,12,0,1,37,0,7,13,1,16,1.4,Dropout
1,8,17,15,1,0,29,0,5,10,5,13.57142857,0.3,Graduate
1,8,5,1,1,0,18,0,6,6,6,11.83333333,2.6,Enrolled
1,1,10,1,1,1,19,0,6,8,5,11.66666667,0.5,Graduate
1,14,10,1,0,0,22,6,10,16,6,11.83333333,0.3,Dropout
1,1,11,1,1,1,20,0,6,8,6,11.16666667,2.8,Graduate
1,12,3,1,1,0,34,0,6,0,0,0,3.7,Dropout
1,14,7,1,0,0,30,8,12,17,8,11.75,2.6,Dropout
1,1,10,1,1,0,18,0,6,7,6,14,1.4,Graduate
1,1,10,1,1,0,18,0,6,6,6,12.83333333,0.5,Graduate
1,1,15,1,1,0,18,0,6,11,4,12.25,-0.8,Graduate
1,8,12,1,1,0,18,0,8,8,7,14.82857143,3.7,Graduate
1,1,15,1,1,1,19,0,6,7,5,11.4,3.7,Graduate
1,1,5,1,1,1,19,0,6,6,6,13,1.4,Graduate
1,1,12,1,1,1,18,0,8,8,7,13.67142857,3.7,Graduate
1,15,4,14,1,1,21,0,6,9,6,12.66666667,-0.3,Graduate
1,1,9,1,0,0,20,0,5,10,2,10,2.6,Dropout
1,8,9,1,1,0,20,0,5,10,5,13.5,-0.3,Graduate
1,1,12,1,1,0,19,2,7,8,7,12.67,0.6,Graduate
1,1,10,1,1,0,20,0,6,8,6,14.5,0.3,Graduate
1,8,12,1,1,0,18,0,7,7,7,13.68571429,-0.3,Graduate
1,13,16,1,1,0,20,0,6,8,5,11,3.7,Dropout
2,4,8,3,0,0,29,7,9,16,7,11.55555556,2.6,Dropout
1,1,12,1,1,1,18,0,7,7,7,13.79714286,0.5,Enrolled
1,1,12,1,1,1,20,0,7,8,7,14.00375,2.8,Graduate
1,7,9,1,1,1,22,0,5,8,4,12,0.3,Graduate
4,1,3,1,1,1,47,0,6,9,5,14.16666667,0.3,Graduate
2,16,17,1,1,0,31,1,5,5,5,14,1.4,Graduate
1,1,5,1,1,1,21,0,6,7,5,13.8,0.3,Graduate
1,1,3,1,1,0,21,0,6,8,5,12.8,2.6,Graduate
2,12,15,9,1,0,24,0,6,6,6,12.16666667,2.6,Graduate
1,8,5,1,1,0,18,0,6,8,6,12.5,2.8,Enrolled
1,12,3,11,1,0,32,0,6,9,4,12,2.6,Graduate
1,9,3,1,1,1,19,0,6,8,6,10.83333333,1.4,Graduate
1,12,12,1,1,0,24,0,8,8,8,13.385,-0.8,Graduate
1,8,6,1,1,0,19,0,6,14,6,15.66666667,2.8,Graduate
1,15,4,14,1,1,19,0,6,9,6,14.33333333,-0.3,Graduate
1,15,4,14,1,0,24,0,6,10,6,11.42857143,0.5,Enrolled
1,8,10,1,1,1,18,0,6,9,6,11.66666667,1.4,Graduate
1,1,5,1,1,1,19,0,6,9,5,12,1.4,Dropout
2,1,12,1,1,1,19,0,8,8,7,14.72571429,1.4,Graduate
1,8,15,1,1,1,18,0,6,6,6,14.16666667,0.5,Graduate
1,1,10,1,1,0,18,0,6,10,6,11.57142857,0.5,Graduate
1,8,13,1,1,0,20,0,7,7,7,12.5,0.5,Graduate
1,1,12,1,1,0,18,0,8,10,8,12.86,-0.8,Graduate
1,8,14,1,1,0,18,0,6,10,6,12.25,0.6,Graduate
1,1,6,1,1,1,21,0,5,7,4,12,1.4,Graduate
1,1,12,1,1,1,18,0,7,9,7,15.11666667,2.8,Graduate
1,16,14,1,0,0,18,0,5,6,2,12.5,-0.8,Dropout
1,8,10,1,1,0,19,0,6,11,0,0,-0.8,Dropout
1,1,14,1,1,0,19,0,6,8,4,11,1.4,Enrolled
1,8,14,1,1,0,18,0,6,8,6,11.875,0.6,Graduate
1,12,8,3,1,0,34,1,5,6,1,11,3.7,Dropout
1,1,6,1,1,0,19,0,5,5,5,15.2,2.6,Graduate
1,15,8,14,0,0,19,2,6,7,5,11.6,0.5,Dropout
1,16,10,1,1,0,26,0,6,6,6,14.83333333,0.6,Graduate
1,8,16,1,1,0,21,0,6,12,3,11.33333333,2.6,Dropout
1,8,9,1,1,1,18,0,5,5,5,11.2,0.6,Graduate
1,8,16,1,1,1,20,0,6,8,5,13.4,-0.8,Graduate
1,16,9,1,1,0,25,0,5,12,2,10.5,0.6,Dropout
1,1,9,1,1,0,18,0,5,5,5,16.2,0.6,Graduate
1,1,12,1,1,1,18,0,7,7,7,14.54285714,0.3,Graduate
1,1,12,1,1,0,19,0,7,7,7,13.69428571,0.6,Graduate
1,1,10,1,1,1,18,0,6,8,6,11.28571429,0.5,Graduate
1,8,12,1,1,0,20,0,7,11,6,11.75714286,2.8,Enrolled
1,4,6,15,0,0,26,0,3,3,0,0,1.4,Dropout
1,13,12,1,1,1,19,0,8,8,7,13.05857143,1.4,Graduate
1,1,12,1,1,0,19,0,7,7,7,14.3,0.3,Graduate
1,14,9,1,1,0,19,3,10,15,5,11.8,2.6,Graduate
1,3,6,1,1,0,19,0,5,9,3,10.33333333,2.6,Enrolled
1,1,11,1,1,0,18,0,6,7,6,10.57142857,0.3,Graduate
1,14,12,6,1,0,19,0,7,7,6,13.33333333,2.6,Graduate
1,1,10,1,1,0,18,0,6,10,6,11.85714286,-0.3,Graduate
1,1,16,1,1,0,18,0,6,9,5,12.6,-0.8,Enrolled
1,1,6,1,1,0,18,0,5,11,5,14,-0.8,Enrolled
1,1,16,1,1,0,18,0,7,12,5,12,0.6,Enrolled
1,15,7,14,1,0,26,0,5,6,0,0,0.3,Dropout
1,1,10,1,1,0,20,0,6,7,6,12,0.5,Graduate
1,1,3,1,1,0,19,0,6,6,6,12.66666667,3.7,Graduate
1,1,10,1,1,1,18,0,6,6,6,12.16666667,-0.8,Graduate
1,15,10,14,1,0,19,3,6,6,6,13.33333333,-0.3,Graduate
1,4,16,15,1,0,40,0,7,8,7,15,0.5,Graduate
1,1,12,1,1,1,18,0,8,8,8,13.39125,-0.8,Graduate
1,8,10,1,1,0,19,0,6,9,5,12.16666667,-0.3,Graduate
1,8,8,1,1,0,18,0,5,9,4,11.25,2.6,Graduate
1,1,6,1,1,0,19,0,5,13,4,12,-0.8,Enrolled
1,1,2,1,1,0,18,0,0,0,0,0,2.8,Dropout
2,12,3,1,1,0,33,0,6,7,6,12.83333333,0.5,Graduate
1,12,4,3,1,0,35,0,6,10,6,14,0.3,Graduate
1,13,9,1,1,0,26,3,5,5,4,13,-0.8,Enrolled
1,1,15,1,1,0,18,0,6,7,6,13.5,-0.8,Graduate
1,14,10,1,1,0,36,10,16,24,13,10.69230769,2.8,Enrolled
4,12,17,1,1,0,39,0,5,6,5,11,1.4,Graduate
2,12,10,1,1,0,44,0,6,8,6,13,3.7,Graduate
1,1,3,1,1,0,20,0,6,10,5,12,-0.8,Enrolled
1,1,11,1,1,0,24,0,6,9,4,12.6,3.7,Dropout
1,14,15,1,1,1,20,0,6,6,6,13.66666667,0.5,Graduate
1,1,2,1,0,0,19,0,0,0,0,0,-0.8,Dropout
2,1,12,1,1,1,18,0,7,7,6,14.2,2.6,Graduate
1,1,11,1,0,0,22,0,6,10,5,11,1.4,Dropout
1,8,6,1,1,0,18,0,6,7,6,15,0.6,Graduate
1,12,12,12,1,0,24,0,7,9,6,12.58571429,-0.3,Graduate
1,12,17,1,1,0,33,0,5,0,0,0,3.7,Dropout
1,12,4,1,1,1,30,0,6,6,0,0,0.6,Enrolled
1,12,6,17,1,0,26,0,6,0,0,0,1.4,Dropout
1,8,16,1,1,0,18,0,6,7,6,11.66666667,1.4,Graduate
1,1,15,1,1,0,19,0,6,13,3,12.66666667,1.4,Dropout
1,8,9,1,1,0,20,0,5,10,3,10.33333333,0.3,Enrolled
1,17,6,16,1,1,22,7,11,18,8,13.5,1.4,Graduate
1,1,12,1,1,0,19,0,7,8,5,13.98,2.6,Enrolled
1,1,6,1,1,1,21,0,6,13,6,16.15384615,2.8,Graduate
1,1,12,1,1,1,21,0,7,7,6,14.03333333,2.6,Graduate
1,8,6,1,1,0,19,0,5,8,1,11,2.6,Enrolled
1,1,16,1,1,1,19,0,7,8,7,13.85714286,1.4,Graduate
1,1,12,1,1,0,18,0,8,8,7,13.41428571,3.7,Dropout
2,14,3,1,1,0,50,7,11,11,11,13.54545455,0.3,Graduate
4,12,17,1,1,1,31,0,5,11,4,11.25,-0.3,Enrolled
1,8,15,1,1,1,19,0,6,6,6,13.83333333,2.8,Graduate
4,12,17,1,1,0,35,0,5,8,5,12,-0.3,Graduate
2,12,6,12,1,0,31,0,6,0,0,0,3.7,Dropout
2,16,3,12,1,0,42,5,11,14,10,11.9,0.6,Enrolled
1,9,9,1,0,0,34,0,5,5,0,0,-0.8,Dropout
1,1,12,1,1,1,18,0,7,7,7,15.13571429,0.5,Graduate
1,8,16,1,0,1,18,0,7,7,7,12.28571429,1.4,Enrolled
1,15,6,14,1,0,21,2,6,16,5,12.66666667,0.3,Enrolled
4,12,12,12,1,1,26,0,7,13,5,12.74,0.3,Dropout
1,14,12,1,1,0,20,0,7,8,6,13.25,-0.3,Enrolled
1,1,10,1,1,0,19,0,6,13,3,10.33333333,2.6,Enrolled
1,1,16,1,1,1,19,0,6,7,6,13.42857143,2.8,Graduate
1,17,9,16,1,0,20,6,11,19,9,12.55555556,1.4,Graduate
1,1,10,1,1,0,19,0,6,8,6,11.5,2.6,Graduate
